atj	Atikamekw		0:00:01.709116	done	2020-07-10 11:17:01.165629
av	Avar	GE	0:00:01.528689	done	2020-07-10 11:17:02.723112
av	Avar	RU	0:00:02.178896	done	2020-07-10 11:17:04.904561
av	Avar	AZ	0:00:00.685613	done	2020-07-10 11:17:05.592741
av	Avar		0:00:02.255670	done	2020-07-10 11:17:07.850759
ay	Aymara	PE	0:00:02.172647	done	2020-07-10 11:17:10.053381
ay	Aymara	CL	0:00:01.440877	done	2020-07-10 11:17:11.496739
ay	Aymara	BO	0:00:02.341762	done	2020-07-10 11:17:13.841121
ay	Aymara		0:00:03.004736	done	2020-07-10 11:17:16.849483
az	Azerbaijani	GE	0:00:04.855351	done	2020-07-10 11:17:22.434946
az	Azerbaijani	AZ	0:00:23.213023	done	2020-07-10 11:17:45.651692
az	Azerbaijani	TR	0:00:03.906081	done	2020-07-10 11:17:49.560191
az	Azerbaijani		0:00:26.651341	done	2020-07-10 11:18:16.213960
azb	South Azerbaijani	IR	0:00:09.098091	done	2020-07-10 11:18:26.546393
azb	South Azerbaijani		0:00:09.874248	done	2020-07-10 11:18:36.423581
ba	Bashkir language	RU	0:00:14.830477	done	2020-07-10 11:18:51.560141
ba	Bashkir language		0:00:15.816219	done	2020-07-10 11:19:07.379372
bar	Bavarian language	DE	0:00:07.021114	done	2020-07-10 11:19:14.527658
bar	Bavarian language	IT	0:00:02.214282	done	2020-07-10 11:19:16.744419
bar	Bavarian language	AT	0:00:03.663600	done	2020-07-10 11:19:20.410335
bar	Bavarian language		0:00:07.160351	done	2020-07-10 11:19:27.572894
bat_smg	Samogitian	LT	0:00:14.808174	done	2020-07-10 11:19:42.448952
bat_smg	Samogitian		0:00:15.180111	done	2020-07-10 11:19:57.631483
bcl	Central Bikol	PH	0:00:04.450097	done	2020-07-10 11:20:02.132430
bcl	Central Bikol		0:00:04.469868	done	2020-07-10 11:20:06.605162
be	Belarusian	BY	0:00:59.881492	done	2020-07-10 11:21:07.510502
be	Belarusian		0:00:54.921000	done	2020-07-10 11:22:02.434629
be_x_old	Taraškievica	BY	0:00:30.011719	done	2020-07-10 11:22:32.871057
be_x_old	Taraškievica		0:00:29.875465	done	2020-07-10 11:23:02.749565
bg	Bulgarian	RS	0:00:05.979816	done	2020-07-10 11:23:10.080315
bg	Bulgarian	TR	0:00:07.701217	done	2020-07-10 11:23:17.784992
bg	Bulgarian	GR	0:00:05.477124	done	2020-07-10 11:23:23.264534
bg	Bulgarian	BG	0:00:57.831841	done	2020-07-10 11:24:21.098876
bg	Bulgarian		0:01:01.571793	done	2020-07-10 11:25:22.673008
bh	Bihari languages	NP	0:00:01.308424	done	2020-07-10 11:25:24.072344
bh	Bihari languages	IN	0:00:03.941041	done	2020-07-10 11:25:28.015768
bh	Bihari languages		0:00:04.249506	done	2020-07-10 11:25:32.267280
bi	Bislama	VU	0:00:01.700402	done	2020-07-10 11:25:33.991984
bi	Bislama		0:00:01.567393	done	2020-07-10 11:25:35.561619
bjn	Banjar	ID	0:00:02.794208	done	2020-07-10 11:25:38.380999
bjn	Banjar		0:00:02.842066	done	2020-07-10 11:25:41.225114
bm	Bambara	ML	0:00:01.521958	done	2020-07-10 11:25:42.767157
bm	Bambara		0:00:01.535493	done	2020-07-10 11:25:44.304747
bn	Bengali	IN	0:00:09.390662	done	2020-07-10 11:25:54.151693
bn	Bengali	BD	0:00:22.071532	done	2020-07-10 11:26:16.226555
bn	Bengali		0:00:25.391420	done	2020-07-10 11:26:41.620483
bo	Tibetan	IN	0:00:01.437570	done	2020-07-10 11:26:43.121339
bo	Tibetan	CN	0:00:02.094858	done	2020-07-10 11:26:45.218879
bo	Tibetan		0:00:02.334066	done	2020-07-10 11:26:47.555239
bpy	Bishnupriya Manipuri	IN	0:00:01.948281	done	2020-07-10 11:26:49.619575
bpy	Bishnupriya Manipuri	BD	0:00:02.572560	done	2020-07-10 11:26:52.194374
bpy	Bishnupriya Manipuri		0:00:03.158747	done	2020-07-10 11:26:55.355472
br	Breton	FR	0:00:07.617527	done	2020-07-10 11:27:03.208051
br	Breton		0:00:07.519424	done	2020-07-10 11:27:10.730069
bs	Bosnian	BA	0:00:09.681861	done	2020-07-10 11:27:20.832763
bs	Bosnian		0:00:09.733205	done	2020-07-10 11:27:30.568728
bug	Buginese	ID	0:00:01.896668	done	2020-07-10 11:27:32.552822
bug	Buginese		0:00:01.977201	done	2020-07-10 11:27:34.532371
bxr	Buryat	RU	0:00:01.708899	done	2020-07-10 11:27:36.266822
bxr	Buryat	CN	0:00:01.330602	done	2020-07-10 11:27:37.599768
bxr	Buryat		0:00:01.796542	done	2020-07-10 11:27:39.398539
ca	Catalan	ES	0:02:38.680162	done	2020-07-10 11:30:19.595360
ca	Catalan	AD	0:00:23.382745	done	2020-07-10 11:30:42.981261
ca	Catalan		0:02:51.581804	done	2020-07-10 11:33:34.566058
cbk_zam	Chavacano	PH	0:00:01.904308	done	2020-07-10 11:33:36.721905
cbk_zam	Chavacano		0:00:01.800792	done	2020-07-10 11:33:38.525193
cdo	Min Dong	CN	0:00:03.012995	done	2020-07-10 11:33:41.602272
cdo	Min Dong		0:00:03.018502	done	2020-07-10 11:33:44.623371
ce	Chechen	RU	0:00:10.650408	done	2020-07-10 11:33:56.769561
ce	Chechen		0:00:11.036300	done	2020-07-10 11:34:07.808380
ceb	Cebuano	PH	0:02:48.196074	done	2020-07-10 11:37:25.481532
ceb	Cebuano		0:02:58.368872	done	2020-07-10 11:40:23.854268
ch	Chamorro	MP	0:00:00.673521	done	2020-07-10 11:40:26.953753
ch	Chamorro	GU	0:00:00.656415	done	2020-07-10 11:40:27.612863
ch	Chamorro		0:00:00.662757	done	2020-07-10 11:40:28.278317
cho	Choctaw	US	0:00:00.661526	done	2020-07-10 11:40:28.959114
cho	Choctaw		0:00:00.645226	done	2020-07-10 11:40:29.606582
chr	Cherokee	US	0:00:03.416849	done	2020-07-10 11:40:33.043600
chr	Cherokee		0:00:03.732165	done	2020-07-10 11:40:36.777990
chy	Cheyenne	US	0:00:00.648528	done	2020-07-10 11:40:37.446548
chy	Cheyenne		0:00:01.244979	done	2020-07-10 11:40:38.693791
ckb	Central Kurdish	IR	0:00:03.905087	done	2020-07-10 11:40:42.727488
ckb	Central Kurdish	IQ	0:00:06.007737	done	2020-07-10 11:40:48.737269
ckb	Central Kurdish		0:00:06.959854	done	2020-07-10 11:40:55.699607
co	Corsican	IT	0:00:01.738409	done	2020-07-10 11:40:57.478870
co	Corsican	FR	0:00:04.264203	done	2020-07-10 11:41:01.745435
co	Corsican		0:00:04.456245	done	2020-07-10 11:41:06.204506
cr	Cree	CA	0:00:01.455814	done	2020-07-10 11:41:07.691088
cr	Cree		0:00:01.504350	done	2020-07-10 11:41:09.198109
crh	Crimean Tatar	UA	0:00:01.754152	done	2020-07-10 11:41:10.988132
crh	Crimean Tatar		0:00:01.755364	done	2020-07-10 11:41:12.745827
cs	Czech	CZ	0:02:09.989148	done	2020-07-10 11:43:25.268112
cs	Czech		0:02:25.731572	done	2020-07-10 11:45:51.002746
csb	Kashubian	PL	0:00:04.372516	done	2020-07-10 11:45:55.521686
csb	Kashubian		0:00:04.332796	done	2020-07-10 11:45:59.856750
cu	Old Church Slavonic	RU	0:00:01.633728	done	2020-07-10 11:46:01.510551
cu	Old Church Slavonic		0:00:01.610144	done	2020-07-10 11:46:03.122660
cv	Chuvash	RU	0:00:06.299347	done	2020-07-10 11:46:09.578644
cv	Chuvash		0:00:06.460964	done	2020-07-10 11:46:16.041913
cy	Welsh	GB	0:00:19.682732	done	2020-07-10 11:46:36.245981
cy	Welsh		0:00:24.108409	done	2020-07-10 11:47:00.357126
da	Danish	DK	0:01:40.148271	done	2020-07-10 11:48:41.819125
da	Danish	DE	0:00:12.647624	done	2020-07-10 11:48:54.470354
da	Danish	FO	0:00:10.585850	done	2020-07-10 11:49:05.058772
da	Danish	GL	0:00:08.898954	done	2020-07-10 11:49:13.959871
da	Danish		0:01:44.725393	done	2020-07-10 11:50:58.687573
de	German	PL	0:01:20.308146	done	2020-07-10 11:52:24.694266
de	German	AT	0:03:18.948125	done	2020-07-10 11:55:43.645405
de	German	LI	0:01:09.577550	done	2020-07-10 11:56:53.225462
de	German	IT	0:01:18.187940	done	2020-07-10 11:58:11.415917
de	German	LU	0:01:19.996085	done	2020-07-10 11:59:31.414237
de	German	DE	0:17:14.481496	done	2020-07-10 12:16:45.898011
de	German	CH	0:02:38.842416	done	2020-07-10 12:19:24.745914
de	German	CZ	0:01:16.051107	done	2020-07-10 12:20:40.800765
de	German		0:21:49.867043	done	2020-07-10 12:42:30.670167
din	Dinka	SS	0:00:02.236061	done	2020-07-10 12:42:34.041215
din	Dinka		0:00:01.608277	done	2020-07-10 12:42:35.651768
diq	Zazaki	TR	0:00:05.436932	done	2020-07-10 12:42:41.194080
diq	Zazaki		0:00:06.373646	done	2020-07-10 12:42:47.570707
dsb	Lower Sorbian	DE	0:00:01.854967	done	2020-07-10 12:42:49.451562
dsb	Lower Sorbian		0:00:02.052110	done	2020-07-10 12:42:51.505804
dty	Doteli language	NP	0:00:01.413981	done	2020-07-10 12:42:52.945800
dty	Doteli language		0:00:01.602173	done	2020-07-10 12:42:54.551186
dv	Maldivian	MV	0:00:02.592367	done	2020-07-10 12:42:57.169930
dv	Maldivian	IN	0:00:01.250720	done	2020-07-10 12:42:58.422674
dv	Maldivian		0:00:02.735308	done	2020-07-10 12:43:01.160349
dz	Dzongkha	BT	0:00:01.589633	done	2020-07-10 12:43:02.769177
dz	Dzongkha	IN	0:00:00.618830	done	2020-07-10 12:43:03.390030
dz	Dzongkha		0:00:01.596589	done	2020-07-10 12:43:04.989522
ee	Ewe	TG	0:00:01.319533	done	2020-07-10 12:43:06.327527
ee	Ewe	GH	0:00:01.213741	done	2020-07-10 12:43:07.543469
ee	Ewe		0:00:01.361091	done	2020-07-10 12:43:08.906745
el	Greek	CY	0:00:10.442498	done	2020-07-10 12:43:20.435242
el	Greek	GR	0:00:48.458822	done	2020-07-10 12:44:08.897016
el	Greek	AL	0:00:08.327533	done	2020-07-10 12:44:17.226568
el	Greek		0:00:59.071207	done	2020-07-10 12:45:16.300394
eml	Emilian-Romagnol	IT	0:00:03.682563	done	2020-07-10 12:45:20.073230
eml	Emilian-Romagnol		0:00:04.174976	done	2020-07-10 12:45:24.251202
en	English	AS	0:02:59.509448	done	2020-07-10 12:49:07.991597
en	English	TK	0:02:47.161423	done	2020-07-10 12:51:55.157259
en	English	JM	0:03:48.442645	done	2020-07-10 12:55:43.604025
en	English	BS	0:03:24.667638	done	2020-07-10 12:59:08.274241
en	English	MS	0:03:08.481565	done	2020-07-10 13:02:16.759250
en	English	US	0:31:23.698268	done	2020-07-10 13:33:40.460263
en	English	VU	0:03:49.380403	done	2020-07-10 13:37:29.845805
en	English	VC	0:03:25.319785	done	2020-07-10 13:40:55.169255
en	English	RW	0:03:28.485803	done	2020-07-10 13:44:23.657969
en	English	FJ	0:03:52.489364	done	2020-07-10 13:48:16.150559
en	English	NZ	0:04:07.434055	done	2020-07-10 13:52:23.588311
en	English	PN	0:02:33.011481	done	2020-07-10 13:54:56.603288
en	English	LR	0:03:10.662395	done	2020-07-10 13:58:07.267815
en	English	KY	0:02:54.415486	done	2020-07-10 14:01:01.686964
en	English	KE	0:03:28.821537	done	2020-07-10 14:04:30.510710
en	English	PH	0:03:47.980978	done	2020-07-10 14:08:18.494698
en	English	TO	0:03:06.493356	done	2020-07-10 14:11:24.991326
en	English	BW	0:03:26.088445	done	2020-07-10 14:14:51.082999
en	English	TT	0:03:21.679518	done	2020-07-10 14:18:12.765521
en	English	BZ	0:03:16.243223	done	2020-07-10 14:21:29.011724
en	English	GH	0:03:30.378020	done	2020-07-10 14:24:59.393030
en	English	PK	0:03:40.717987	done	2020-07-10 14:28:40.114581
en	English	PW	0:03:09.004621	done	2020-07-10 14:31:49.121724
en	English	MY	0:04:04.259830	done	2020-07-10 14:35:53.383736
en	English	NG	0:03:36.773397	done	2020-07-10 14:39:30.160105
en	English	MP	0:02:43.456751	done	2020-07-10 14:42:13.621314
en	English	SB	0:02:54.507813	done	2020-07-10 14:45:08.133019
en	English	SZ	0:03:23.782331	done	2020-07-10 14:48:31.918018
en	English	SX	0:02:56.634072	done	2020-07-10 14:51:28.557513
en	English	BQ	0:02:07.296545	done	2020-07-10 14:53:35.856438
en	English	DM	0:02:58.856648	done	2020-07-10 14:56:34.717097
en	English	SC	0:02:54.606848	done	2020-07-10 14:59:29.327514
en	English	IO	0:00:39.409246	done	2020-07-10 15:00:08.740148
en	English	NA	0:03:22.829748	done	2020-07-10 15:03:31.573032
en	English	IN	0:06:43.271972	done	2020-07-10 15:10:14.849357
en	English	GG	0:03:24.810013	done	2020-07-10 15:13:39.662518
en	English	IM	0:03:13.834097	done	2020-07-10 15:16:53.499609
en	English	MU	0:03:22.770501	done	2020-07-10 15:20:16.273166
en	English	PG	0:03:18.657989	done	2020-07-10 15:23:34.934499
en	English	PR	0:03:33.301213	done	2020-07-10 15:27:08.238821
en	English	BN	0:03:11.554082	done	2020-07-10 15:30:19.796189
en	English	LC	0:03:05.118101	done	2020-07-10 15:33:24.916881
en	English	FM	0:02:58.389317	done	2020-07-10 15:36:23.308823
en	English	CK	0:03:07.277287	done	2020-07-10 15:39:30.589604
en	English	NR	0:03:11.871862	done	2020-07-10 15:42:42.464146
en	English	SL	0:03:03.822647	done	2020-07-10 15:45:46.289947
en	English	TC	0:02:58.416117	done	2020-07-10 15:48:44.709697
en	English	VG	0:02:49.993519	done	2020-07-10 15:51:34.708024
en	English	HK	0:03:25.000260	done	2020-07-10 15:54:59.710811
en	English	LS	0:03:36.872199	done	2020-07-10 15:58:36.585608
en	English	SD	0:03:26.220883	done	2020-07-10 16:02:02.810134
en	English	KI	0:03:03.011860	done	2020-07-10 16:05:05.824968
en	English	GD	0:02:57.717702	done	2020-07-10 16:08:03.545513
en	English	CM	0:02:11.495646	done	2020-07-10 16:10:15.043864
en	English	MT	0:03:53.441379	done	2020-07-10 16:14:08.488784
en	English	GY	0:03:11.370968	done	2020-07-10 16:17:19.864392
en	English	BM	0:03:06.201195	done	2020-07-10 16:20:26.068317
en	English	SG	0:03:45.048260	done	2020-07-10 16:24:11.119514
en	English	BB	0:03:16.531502	done	2020-07-10 16:27:27.653769
en	English	ZM	0:03:33.091083	done	2020-07-10 16:31:00.747307
en	English	ZA	0:04:02.206238	done	2020-07-10 16:35:02.957247
en	English	NU	0:03:02.795178	done	2020-07-10 16:38:05.755447
en	English	VI	0:02:56.229939	done	2020-07-10 16:41:01.988515
en	English	GB	0:12:34.374602	done	2020-07-10 16:53:36.365452
en	English	AU	0:06:00.776843	done	2020-07-10 16:59:37.145806
en	English	MH	0:02:47.110481	done	2020-07-10 17:02:24.258873
en	English	WS	0:03:21.294573	done	2020-07-10 17:05:45.557657
en	English	AG	0:03:08.998880	done	2020-07-10 17:08:54.559327
en	English	UG	0:03:31.033879	done	2020-07-10 17:12:25.596455
en	English	AI	0:02:47.673281	done	2020-07-10 17:15:13.272456
en	English	GU	0:03:18.630875	done	2020-07-10 17:18:31.906239
en	English	IE	0:04:23.883482	done	2020-07-10 17:22:55.793268
en	English	MW	0:03:30.128914	done	2020-07-10 17:26:25.925466
en	English	ZW	0:03:30.095960	done	2020-07-10 17:29:56.023716
en	English	NF	0:02:38.083141	done	2020-07-10 17:32:34.109475
en	English	CA	0:06:55.518464	done	2020-07-10 17:39:29.631125
en	English	SS	0:03:26.030961	done	2020-07-10 17:42:55.665581
en	English	KN	0:03:05.755439	done	2020-07-10 17:46:01.424439
en	English	GI	0:03:29.649725	done	2020-07-10 17:49:31.076703
en	English	TV	0:02:52.360632	done	2020-07-10 17:52:23.441130
en	English	GM	0:03:22.036695	done	2020-07-10 17:55:45.480530
en	English	JE	0:03:26.456186	done	2020-07-10 17:59:11.940023
en	English		1:00:05.617591	done	2020-07-10 18:59:17.560067
es	Spanish	GT	0:01:10.978448	done	2020-07-10 19:00:37.900652
es	Spanish	MX	0:01:51.592920	done	2020-07-10 19:02:29.497677
es	Spanish	EC	0:00:53.583268	done	2020-07-10 19:03:23.083319
es	Spanish	PE	0:01:08.443314	done	2020-07-10 19:04:31.528900
es	Spanish	CL	0:01:06.141620	done	2020-07-10 19:05:37.673942
es	Spanish	NI	0:00:47.908608	done	2020-07-10 19:06:25.585783
es	Spanish	CO	0:01:08.851683	done	2020-07-10 19:07:34.439795
es	Spanish	DO	0:00:48.813114	done	2020-07-10 19:08:23.255457
es	Spanish	PR	0:00:48.047282	done	2020-07-10 19:09:11.305076
es	Spanish	CU	0:00:53.604309	done	2020-07-10 19:10:04.911655
es	Spanish	SV	0:00:48.903725	done	2020-07-10 19:10:53.817657
es	Spanish	ES	0:04:32.420192	done	2020-07-10 19:15:26.240713
es	Spanish	PY	0:00:54.437837	done	2020-07-10 19:16:20.681538
es	Spanish	CR	0:01:06.323030	done	2020-07-10 19:17:27.007640
es	Spanish	PA	0:00:58.506923	done	2020-07-10 19:18:25.517734
es	Spanish	GQ	0:00:42.216694	done	2020-07-10 19:19:07.738067
es	Spanish	HN	0:00:52.035355	done	2020-07-10 19:19:59.776627
es	Spanish	UY	0:01:05.671158	done	2020-07-10 19:21:05.450377
es	Spanish	AR	0:01:55.497164	done	2020-07-10 19:23:00.950898
es	Spanish	BO	0:00:56.460566	done	2020-07-10 19:23:57.414818
es	Spanish	GI	0:00:38.065716	done	2020-07-10 19:24:35.483080
es	Spanish	VE	0:01:14.286114	done	2020-07-10 19:25:49.771496
es	Spanish		0:09:51.671628	done	2020-07-10 19:35:41.446885
et	Estonian	EE	0:00:51.741276	done	2020-07-10 19:36:35.376424
et	Estonian		0:00:53.098249	done	2020-07-10 19:37:28.477745
eu	Basque	ES	0:00:31.463663	done	2020-07-10 19:38:01.814300
eu	Basque		0:00:36.911939	done	2020-07-10 19:38:38.730515
ext	Extremaduran	ES	0:00:02.607288	done	2020-07-10 19:38:41.446667
ext	Extremaduran		0:00:02.844934	done	2020-07-10 19:38:44.293849
fa	Persian	IR	0:02:43.897651	done	2020-07-10 19:41:32.628899
fa	Persian	AF	0:00:25.514609	done	2020-07-10 19:41:58.146603
fa	Persian		0:02:47.871121	done	2020-07-10 19:44:46.020112
ff	Fula	BF	0:00:00.673280	done	2020-07-10 19:44:46.913636
ff	Fula	ML	0:00:01.235296	done	2020-07-10 19:44:48.151107
ff	Fula	NG	0:00:00.622454	done	2020-07-10 19:44:48.775678
ff	Fula	GN	0:00:01.356411	done	2020-07-10 19:44:50.134216
ff	Fula	BJ	0:00:01.169244	done	2020-07-10 19:44:51.305637
ff	Fula	CM	0:00:01.163099	done	2020-07-10 19:44:52.470852
ff	Fula	MR	0:00:00.616338	done	2020-07-10 19:44:53.089362
ff	Fula	GW	0:00:00.626102	done	2020-07-10 19:44:53.717645
ff	Fula	TD	0:00:00.605295	done	2020-07-10 19:44:54.325169
ff	Fula	GM	0:00:00.610612	done	2020-07-10 19:44:54.937829
ff	Fula	NE	0:00:01.212278	done	2020-07-10 19:44:56.152250
ff	Fula	SN	0:00:01.337674	done	2020-07-10 19:44:57.491966
ff	Fula		0:00:01.514655	done	2020-07-10 19:44:59.008737
fi	Finnish	SE	0:00:18.455344	done	2020-07-10 19:45:19.921463
fi	Finnish	RU	0:00:14.570800	done	2020-07-10 19:45:34.494995
fi	Finnish	FI	0:01:55.524482	done	2020-07-10 19:47:30.021899
fi	Finnish		0:02:06.617418	done	2020-07-10 19:49:36.641857
